;Вуз;Адрес;e-mail;Телефон;Сайт;Категории;Url;Url_With_Coordinates;lat;long
49;Белгородский государственный институт искусств и культуры;г. Белгород (Белгородская обл.), ул. Королева, д. 7;bgiik@bgiik.ru;(7422) 55-98-09, 55-03-61, 55-18-48;http://bgiik.ru;Вузы культуры,Гуманитарные,Дизайна,Информационные,Педагогические,Сервиса;https://www.google.com/maps/search/г. Белгород (Белгородская обл.), ул. Королева, д. 7;https://maps.google.com/maps/api/staticmap?center=50.574825%2C36.577997&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=H33QRdsO0hD6JNlk4E3WQND_5zE;50.574825;36.577997
50;Белгородский государственный национальный исследовательский университет;г. Белгород (Белгородская обл.), ул. Победы, д. 85, Приемная комиссия находиться на ул. Студенческая, д.14 (Старый корпус БелГУ);Exam@bsu.edu.ru;(4722)30-18-80, 30-18-79;http://www.bsu.edu.ru;Архитектурные,Биологические,Вузы культуры,Гуманитарные,Информационные,Географические,Экономические,Медицинские,Педагогические,Сервиса,Спортивные,Строительные,Технические,Нефтяные,Психологические,Пищевые,Юридические;https://www.google.com/maps/search/г. Белгород (Белгородская обл.), ул. Победы, д. 85, Приемная комиссия находиться на ул. Студенческая, д.14 (Старый корпус БелГУ);https://maps.google.com/maps/api/staticmap?center=50.5940354%2C36.5761315&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=pR_5L7uc9vDc4dVhoOqC8ou3mvk;50.5940354;36.5761315
51;Белгородский государственный технологический университет им. В.Г. Шухова;г. Белгород (Белгородская обл.), ул. Костюкова, д. 46;rector@intbel.ru;(4722) 54-20-87, 55-41-03, 30-99-07;http://www.bstu.ru;Архитектурные,Биологические,Вузы культуры,Гуманитарные,Дизайна,Информационные,Географические,Экономические,Медицинские,Строительные,Технические,Нефтяные,Психологические,Транспортные;https://www.google.com/maps/search/г. Белгород (Белгородская обл.), ул. Костюкова, д. 46;https://maps.google.com/maps/api/staticmap?center=50.578852%2C36.5977661&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Ym-JoEBvxZleptnLXRD8ad01fZg;50.578852;36.5977661
52;Белгородский университет кооперации, экономики и права;г. Белгород (Белгородская обл.), ул. Садовая, д. 116А;admis@bukep.ru;(4722) 26-37-39, 26-08-48;http://www.bukep.ru/;Гуманитарные,Информационные,Экономические,Педагогические,Сервиса,Психологические,Пищевые,Юридические;https://www.google.com/maps/search/г. Белгород (Белгородская обл.), ул. Садовая, д. 116А;https://maps.google.com/maps/api/staticmap?center=50.6230165%2C36.5868281&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=nHKyUMpHeXCQvyONMUw8IXfPh8c;50.6230165;36.5868281
53;Братский государственный университет;г. Братск (Иркутская обл.), ул. Макаренко, д. 40;cpk@brstu.ru;(3953) 33-27-35, 32-53-14;http://brstu.ru/;Аграрные,Биологические,Гуманитарные,Информационные,Экономические,Педагогические,Строительные,Психологические,Транспортные;https://www.google.com/maps/search/г. Братск (Иркутская обл.), ул. Макаренко, д. 40;https://maps.google.com/maps/api/staticmap?center=56.3097513%2C101.760869&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=49YQZGgBi7HNsl6Bxf24dxE05uY;56.3097513;101.760869
54;Бронницкий филиал Московского автомобильно-дорожного государственного технического университета;г. Бронницы (Московская обл.), ул. Ново-Бронницкая, д. 50;priem@bronmadi.ru;(496) 466-93-97;http://www.bronmadi.ru/view_doc.html?mode=home;Экономические,Технические,Транспортные;https://www.google.com/maps/search/г. Бронницы (Московская обл.), ул. Ново-Бронницкая, д. 50;https://maps.google.com/maps/api/staticmap?center=55.4216055%2C38.2593629&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=oBxNF6OS_Gqa7MnS5p6-7yPr0M4;55.4216055;38.2593629
55;Брянский филиал Российского экономического университета имени Г.В. Плеханова;г. Брянск (Брянская обл.), ул. Бежицкая, д. 8;bryansk@rea.ru;(4832) 66-62-83;http://www.rea.ru/ru/org/branches/Pages/bryansk.aspx;Гуманитарные,Экономические,Пищевые,Юридические;https://www.google.com/maps/search/г. Брянск (Брянская обл.), ул. Бежицкая, д. 8;https://maps.google.com/maps/api/staticmap?center=53.2703953%2C34.3543335&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=9Y-BPjYYGMaplg9xaun5cS_JNhA;53.2703953;34.3543335
56;Брянский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ;г. Брянск (Брянская обл.), ул. Горького, д.18;info@br.ranepa.ru;(4832) 74-96-32, 72-28-21, (900) 373-42-79;http://br.ranepa.ru/;Гуманитарные,Экономические,Психологические,Юридические;https://www.google.com/maps/search/г. Брянск (Брянская обл.), ул. Горького, д.18;https://maps.google.com/maps/api/staticmap?center=53.243456%2C34.3697199&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=TrGPruy4w4Xwe45PKInz7sWOSMA;53.243456;34.3697199
57;Бугульминский филиал КНИТУ;Бугульма, ул. Красноармейская, д. 9;bf-kgtu@yandex.ru;(85594) 4-52-38;http://bfknitu.com;Биологические,Гуманитарные,Информационные,Технические,Транспортные,Пищевые;https://www.google.com/maps/search/Бугульма, ул. Красноармейская, д. 9;https://maps.google.com/maps/api/staticmap?center=54.5457178%2C52.7851861&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Tf-Pz2rltchD7jMDqAFuR0IOp2o;54.5457178;52.7851861
58;Бузулукский гуманитарно-технологический институт Оренбургского государственного университета;г. Бузулук (Оренбургская обл.), ул. Комсомольская, д. 112;edu@bgti.ru;(35342) 5-59-74 , 2-09-06;http://www.bgti.ru/;Биологические,Экономические,Педагогические,Строительные,Транспортные,Юридические;https://www.google.com/maps/search/г. Бузулук (Оренбургская обл.), ул. Комсомольская, д. 112;https://maps.google.com/maps/api/staticmap?center=52.7887597%2C52.2565958&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=WktBNdKurgDMI0CTwYEQxkuGNKc;52.7887597;52.2565958
59;Бурятский институт инфокоммуникаций (филиал СибГУТИ);Улан-Удэ, ул. Трубачеева, 152;bfsibguti@mail.ru;(3012) 24-00-24;http://biik.ru/;Информационные,Технические;https://www.google.com/maps/search/Улан-Удэ, ул. Трубачеева, 152;https://maps.google.com/maps/api/staticmap?center=51.817237%2C107.618616&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=i_jE9cgPNbVXUDrtUcndHCmEmwM;51.817237;107.618616
